UID	Country	City	Place name	Official place	Place number	Free bikes	Total bikes	Place type	Comment	Setpoint bikes	Bike racks	Show in customer map	Battery voltage	Solar voltage	Location marking	Online	Time stamp	Creation date
"264293"	"OVO Bikes Glasgow"	"Glasgow"	"Merchant Square - ELECTRIC"	"1"	"8407"	"3"	"6"	"E-bike station"	"54487,54501,54530,54515   21.07.23 13:53:57:  21.07.23 13:53:57: Rack Problem 13.08.23 6:17:20:  13.08.23 6:17:20: Vandalism 13.08.23 6:18:43:  13.08.23 6:18:43: Vandalism 13.08.23 6:20:51:  13.08.23 6:20:51: Graffiti 13.08.23 6:21:31:  13.08.23 6:21:31: Graffiti 13.08.23 6:23:06:  13.08.23 6:23:06: Rack Problem"	"8"	"8"	"1"	"13,88"	"0,00"	"smart_sign"	"1"	2023-11-26 09:15	
"320304763"	"OVO Bikes Glasgow"	"Glasgow"	"8467"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 09:13	
"320304589"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46882"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 09:12	
"264299"	"OVO Bikes Glasgow"	"Glasgow"	"Broomielaw - ELECTRIC"	"1"	"8413"	"0"	"3"	"E-bike station"	"54463,54455,54573,54558,54411,54494,54541,54534  "	"10"	"8"	"1"	"13,86"	"0,00"	"smart_sign"	"1"	2023-11-26 09:10	
"315912"	"OVO Bikes Glasgow"	"Glasgow"	"Finnieston Street"	"1"	"8438"	"0"	"0"	"E-bike station"	"54578,54385,54491,54581 05.08.23 11:38:22:  05.08.23 11:38:22: Vandalism 14.08.23 1:54:04:  14.08.23 1:54:04: Rack Problem"	"6"	"8"	"1"	"13,89"	"0,00"	"smart_sign"	"1"	2023-11-26 09:09	
"349454"	"OVO Bikes Glasgow"	"Glasgow"	"Paisley Road Toll - ELECTRIC "	"1"	"8443"	"12"	"12"	"E-bike station"	"54498,53714,54580,53716 21.08.23 18:08:49:  21.08.23 18:08:49: Vandalism 21.08.23 18:09:43:  21.08.23 18:09:43: Rack Problem 13.11.23 19:11:00:  13.11.23 19:11:00: Rack Problem"	"8"	"6"	"1"	"13,64"	"0,00"	"smart_sign"	"1"	2023-11-26 09:08	
"320300058"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47935"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 09:00	
"320296133"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46971"	"0"	""	"1"	"1"	"E-Single Bike Station"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 08:51	
"105742240"	"OVO Bikes Glasgow"	"Glasgow"	"St Andrews Drive - Dalziel Drive"	"1"	"8315"	"3"	"3"	"Standard place"	""	"6"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-26 08:44	
"320292597"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46932"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 08:42	
"320291581"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46652"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 08:40	
"42614033"	"OVO Bikes Glasgow"	"Glasgow"	"Gorbals Library"	"1"	"8215"	"15"	"16"	"Standard place"	""	"8"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 08:37	
"320289159"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47948"	"0"	""	"1"	"1"	"E-Single Bike Station"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 08:34	
"264309"	"OVO Bikes Glasgow"	"Glasgow"	"University of Strathclyde (North)"	"1"	"8424"	"2"	"4"	"Standard place"	" 17.09.23 1:32:01:  17.09.23 1:32:01: Terminal Offline"	"3"	"3"	"1"	""	""	"smart_sign"	"0"	2023-11-26 08:30	
"320283888"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46727"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 08:18	
"19548760"	"OVO Bikes Glasgow"	"Glasgow"	"Glasgow Forge (Gallowgate)"	"1"	"8436"	"4"	"4"	"E-bike station"	"54506,54594,53642,53662 04.11.23 10:59:32:  04.11.23 10:59:32: Rack Problem"	"12"	"8"	"1"	"13,71"	"0,00"	"smart_sign"	"1"	2023-11-26 08:17	
"320279561"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46547"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 08:06	
"349456"	"OVO Bikes Glasgow"	"Glasgow"	"Govan Cross"	"1"	"8445"	"4"	"4"	"Standard place"	""	"6"	"5"	"1"	""	""	"smart_sign"	"0"	2023-11-26 07:56	
"264392"	"OVO Bikes Glasgow"	"Glasgow"	"Argyle Street Railway Station - ELECTRIC"	"1"	"8411"	"8"	"9"	"E-bike station"	"54577,54481,54444,54517 19.11.23 4:45:12:  19.11.23 4:45:12: Terminal Offline"	"11"	"7"	"1"	"13,67"	"0,00"	"smart_sign"	"1"	2023-11-26 07:46	
"28521334"	"OVO Bikes Glasgow"	"Glasgow"	"Glasgow Central West"	"1"	"8216"	"0"	"0"	"E-bike station"	"54627,83670,54522,53648  "	"8"	"8"	"1"	"12,65"	"0,00"	"smart_sign"	"1"	2023-11-26 07:42	
"349451"	"OVO Bikes Glasgow"	"Glasgow"	"Barrowlands - ELECTRIC"	"1"	"8440"	"6"	"6"	"E-bike station"	"54600,54569,54486,54508"	"6"	"4"	"1"	"12,22"	"0,00"	"smart_sign"	"0"	2023-11-26 07:36	
